Program "PAW_protein_grouper.py" run on Fri May  8 06:42:05 2020


	=SUBTOTAL(109,B6:B9936)															
5558	1	sp|Q15057|ACAP2_HUMAN	 	 	 	 	22.6	778	88028	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens (Human) OX=9606 GN=ACAP2 PE=1 SV=3	15	15	1.000	15	15	15.000
5559	1	sp|Q15058|KIF14_HUMAN	 	 	 	 	11.7	1648	186489	Kinesin-like protein KIF14 OS=Homo sapiens (Human) OX=9606 GN=KIF14 PE=1 SV=1	23	23	1.000	23	23	23.000
5560	1	sp|Q15059|BRD3_HUMAN	 	 	sp|O60885|BRD4_HUMAN, sp|P25440|BRD2_HUMAN, sp|Q15059|BRD3_HUMAN	 	26.6	726	79541	Bromodomain-containing protein 3 OS=Homo sapiens (Human) OX=9606 GN=BRD3 PE=1 SV=1	31	19	0.613	31	19	23.343
5561	1	sp|Q15061|WDR43_HUMAN	 	 	 	 	17.0	677	74890	WD repeat-containing protein 43 OS=Homo sapiens (Human) OX=9606 GN=WDR43 PE=1 SV=3	26	26	1.000	26	26	26.000
5562	1	sp|Q15063|POSTN_HUMAN	 	 	 	 	6.3	836	93313	Periostin OS=Homo sapiens (Human) OX=9606 GN=POSTN PE=1 SV=2	5	5	1.000	5	5	5.000
5563	1	sp|Q15067|ACOX1_HUMAN	 	 	 	 	29.5	660	74423	Peroxisomal acyl-coenzyme A oxidase 1 OS=Homo sapiens (Human) OX=9606 GN=ACOX1 PE=1 SV=3	27	27	1.000	27	27	27.000
5564	1	sp|Q15070|OXA1L_HUMAN	 	 	 	 	19.5	435	48547	Mitochondrial inner membrane protein OXA1L OS=Homo sapiens (Human) OX=9606 GN=OXA1L PE=1 SV=3	23	23	1.000	23	23	23.000
5565	1	sp|Q15072|OZF_HUMAN	 	 	sp|Q15072|OZF_HUMAN, sp|Q3ZCT1|ZN260_HUMAN, sp|Q3ZCX4|ZN568_HUMAN	 	13.4	292	33307	Zinc finger protein OZF OS=Homo sapiens (Human) OX=9606 GN=ZNF146 PE=1 SV=2	5	2	0.400	5	2	3.800
5566	1	sp|Q15075|EEA1_HUMAN	 	 	 	 	56.6	1411	162464	Early endosome antigen 1 OS=Homo sapiens (Human) OX=9606 GN=EEA1 PE=1 SV=2	161	161	1.000	161	161	161.000
5567	1	sp|Q15080|NCF4_HUMAN	 	 	 	 	11.5	339	39031	Neutrophil cytosol factor 4 OS=Homo sapiens (Human) OX=9606 GN=NCF4 PE=1 SV=2	6	6	1.000	6	6	6.000
5568	1	sp|Q15084|PDIA6_HUMAN	 	 	 	 	45.2	440	48121	Protein disulfide-isomerase A6 OS=Homo sapiens (Human) OX=9606 GN=PDIA6 PE=1 SV=1	151	151	1.000	151	151	151.000
5569	1	sp|Q15102|PA1B3_HUMAN	 	 	 	 	26.0	231	25734	Platelet-activating factor acetylhydrolase IB subunit gamma OS=Homo sapiens (Human) OX=9606 GN=PAFAH1B3 PE=1 SV=1	27	27	1.000	27	27	27.000
5570	1	sp|Q15118|PDK1_HUMAN	 	 	sp|Q15118|PDK1_HUMAN, sp|Q15119|PDK2_HUMAN	 	14.2	436	49244	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=PDK1 PE=1 SV=1	6	5	0.833	6	5	5.312
5571	1	sp|Q15119|PDK2_HUMAN	 	 	sp|Q15118|PDK1_HUMAN, sp|Q15119|PDK2_HUMAN, sp|Q15120|PDK3_HUMAN	 	25.8	407	46153	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=PDK2 PE=1 SV=2	14	11	0.786	14	11	12.335
5572	1	sp|Q15120|PDK3_HUMAN	 	 	sp|Q15119|PDK2_HUMAN, sp|Q15120|PDK3_HUMAN	 	42.1	406	46938	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=PDK3 PE=1 SV=1	25	23	0.920	25	23	24.353
5573	1	sp|Q15121|PEA15_HUMAN	 	 	 	 	60.0	130	15040	Astrocytic phosphoprotein PEA-15 OS=Homo sapiens (Human) OX=9606 GN=PEA15 PE=1 SV=2	20	20	1.000	20	20	20.000
5574	1	sp|Q15124|PGM5_HUMAN	 	 	 	 	3.4	567	62224	Phosphoglucomutase-like protein 5 OS=Homo sapiens (Human) OX=9606 GN=PGM5 PE=1 SV=2	2	2	1.000	2	2	2.000
5575	1	sp|Q15126|PMVK_HUMAN	 	 	 	 	57.3	192	21995	Phosphomevalonate kinase OS=Homo sapiens (Human) OX=9606 GN=PMVK PE=1 SV=3	30	30	1.000	30	30	30.000
5576	1	sp|Q15147|PLCB4_HUMAN	 	 	 	 	7.6	1175	134462	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4 OS=Homo sapiens (Human) OX=9606 GN=PLCB4 PE=1 SV=3	16	16	1.000	16	16	16.000
5577	1	sp|Q15149|PLEC_HUMAN	 	 	sp|P46783|RS10_HUMAN, sp|P58107|EPIPL_HUMAN, sp|Q15149|PLEC_HUMAN, sp|Q9UPN3|MACF1_HUMAN	 	60.2	4684	531784	Plectin OS=Homo sapiens (Human) OX=9606 GN=PLEC PE=1 SV=3	1131	1044	0.923	1131	1044	1086.476
5578	1	sp|Q15154|PCM1_HUMAN	 	 	sp|P12270|TPR_HUMAN, sp|Q15154|PCM1_HUMAN	 	10.6	2024	228542	Pericentriolar material 1 protein OS=Homo sapiens (Human) OX=9606 GN=PCM1 PE=1 SV=5	46	43	0.935	46	43	43.434
5580	1	sp|Q15165|PON2_HUMAN	 	 	 	 	22.3	354	39380	Serum paraoxonase/arylesterase 2 OS=Homo sapiens (Human) OX=9606 GN=PON2 PE=1 SV=4	9	9	1.000	9	9	9.000
5581	1	sp|Q15172|2A5A_HUMAN	 	 	 	 	20.4	486	56193	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform OS=Homo sapiens (Human) OX=9606 GN=PPP2R5A PE=1 SV=1	10	10	1.000	10	10	10.000
5582	1	sp|Q15181|IPYR_HUMAN	 	 	sp|Q15181|IPYR_HUMAN, sp|Q9H2U2|IPYR2_HUMAN	 	62.3	289	32660	Inorganic pyrophosphatase OS=Homo sapiens (Human) OX=9606 GN=PPA1 PE=1 SV=2	127	113	0.890	127	113	122.198
5583	1	sp|Q15185|TEBP_HUMAN	 	 	 	 	52.5	160	18697	Prostaglandin E synthase 3 OS=Homo sapiens (Human) OX=9606 GN=PTGES3 PE=1 SV=1	45	45	1.000	45	45	45.000
5584	1	sp|Q15208|STK38_HUMAN	 	 	sp|Q15208|STK38_HUMAN, sp|Q9Y2H1|ST38L_HUMAN	 	43.0	465	54190	Serine/threonine-protein kinase 38 OS=Homo sapiens (Human) OX=9606 GN=STK38 PE=1 SV=1	30	22	0.733	30	22	28.069
5585	1	sp|Q15223|NECT1_HUMAN	 	 	 	 	5.8	517	57157	Nectin-1 OS=Homo sapiens (Human) OX=9606 GN=NECTIN1 PE=1 SV=3	3	3	1.000	3	3	3.000
5586	1	sp|Q15233|NONO_HUMAN	 	 	sp|P23246|SFPQ_HUMAN, sp|Q15233|NONO_HUMAN, sp|Q8WXF1|PSPC1_HUMAN	 	44.6	471	54231	Non-POU domain-containing octamer-binding protein OS=Homo sapiens (Human) OX=9606 GN=NONO PE=1 SV=4	161	126	0.783	161	126	148.171
5587	1	sp|Q15257|PTPA_HUMAN	 	 	 	 	63.1	358	40667	Serine/threonine-protein phosphatase 2A activator OS=Homo sapiens (Human) OX=9606 GN=PTPA PE=1 SV=3	38	38	1.000	38	38	38.000
5588	1	sp|Q15262|PTPRK_HUMAN	 	 	sp|P28827|PTPRM_HUMAN, sp|Q15262|PTPRK_HUMAN	 	15.8	1439	162100	Receptor-type tyrosine-protein phosphatase kappa OS=Homo sapiens (Human) OX=9606 GN=PTPRK PE=1 SV=2	29	27	0.931	29	27	28.929
5589	1	sp|Q15269|PWP2_HUMAN (+1)	sp|Q15269|PWP2_HUMAN&tr|A0A0B4J2E5|A0A0B4J2E5_HUMAN	 	 	 	25.0	919	102451	Periodic tryptophan protein 2 homolog OS=Homo sapiens (Human) OX=9606 GN=PWP2 PE=2 SV=2	38	38	1.000	38	38	38.000
5590	1	sp|Q15274|NADC_HUMAN	 	 	 	 	20.5	297	30845	Nicotinate-nucleotide pyrophosphorylase [carboxylating] OS=Homo sapiens (Human) OX=9606 GN=QPRT PE=1 SV=3	8	8	1.000	8	8	8.000
5591	1	sp|Q15276|RABE1_HUMAN	 	 	 	 	35.8	862	99289	Rab GTPase-binding effector protein 1 OS=Homo sapiens (Human) OX=9606 GN=RABEP1 PE=1 SV=2	48	48	1.000	48	48	48.000
5592	1	sp|Q15283|RASA2_HUMAN	 	 	sp|Q14644|RASA3_HUMAN, sp|Q15283|RASA2_HUMAN	 	6.6	850	96613	Ras GTPase-activating protein 2 OS=Homo sapiens (Human) OX=9606 GN=RASA2 PE=1 SV=3	7	6	0.857	7	6	6.500
5593	1	sp|Q15286|RAB35_HUMAN	 	 	sp|O95716|RAB3D_HUMAN, sp|P20338|RAB4A_HUMAN, sp|P20340|RAB6A_HUMAN, sp|P51153|RAB13_HUMAN, sp|P59190|RAB15_HUMAN, sp|P61006|RAB8A_HUMAN, sp|P61018|RAB4B_HUMAN, sp|P61026|RAB10_HUMAN, sp|P61106|RAB14_HUMAN, sp|P62820|RAB1A_HUMAN, sp|Q15286|RAB35_HUMAN, sp|Q15771|RAB30_HUMAN, sp|Q6IQ22|RAB12_HUMAN, sp|Q86YS6|RAB43_HUMAN, sp|Q92930|RAB8B_HUMAN, sp|Q96AX2|RAB37_HUMAN, sp|Q96DA2|RB39B_HUMAN, sp|Q9H082|RB33B_HUMAN, sp|Q9H0U4|RAB1B_HUMAN, sp|Q9NRW1|RAB6B_HUMAN	 	75.6	201	23025	Ras-related protein Rab-35 OS=Homo sapiens (Human) OX=9606 GN=RAB35 PE=1 SV=1	140	32	0.229	140	32	45.949
5594	1	sp|Q15287|RNPS1_HUMAN	 	 	 	 	11.5	305	34208	RNA-binding protein with serine-rich domain 1 OS=Homo sapiens (Human) OX=9606 GN=RNPS1 PE=1 SV=1	12	12	1.000	12	12	12.000
5595	1	sp|Q15291|RBBP5_HUMAN	 	 	 	 	21.2	538	59152	Retinoblastoma-binding protein 5 OS=Homo sapiens (Human) OX=9606 GN=RBBP5 PE=1 SV=2	21	21	1.000	21	21	21.000
5596	1	sp|Q15293|RCN1_HUMAN	 	 	 	 	22.4	331	38890	Reticulocalbin-1 OS=Homo sapiens (Human) OX=9606 GN=RCN1 PE=1 SV=1	11	11	1.000	11	11	11.000
5597	1	sp|Q15311|RBP1_HUMAN	 	 	 	 	16.6	655	76063	RalA-binding protein 1 OS=Homo sapiens (Human) OX=9606 GN=RALBP1 PE=1 SV=3	15	15	1.000	15	15	15.000
5598	1	sp|Q15326|ZMY11_HUMAN	 	 	 	 	12.3	602	70962	Zinc finger MYND domain-containing protein 11 OS=Homo sapiens (Human) OX=9606 GN=ZMYND11 PE=1 SV=2	6	6	1.000	6	6	6.000
5599	1	sp|Q15334|L2GL1_HUMAN	 	 	 	 	12.4	1064	115417	Lethal(2) giant larvae protein homolog 1 OS=Homo sapiens (Human) OX=9606 GN=LLGL1 PE=1 SV=3	16	16	1.000	16	16	16.000
5600	1	sp|Q15345|LRC41_HUMAN	 	 	 	 	13.9	812	88649	Leucine-rich repeat-containing protein 41 OS=Homo sapiens (Human) OX=9606 GN=LRRC41 PE=1 SV=3	13	13	1.000	13	13	13.000
5602	1	sp|Q15361|TTF1_HUMAN	 	 	 	 	7.8	905	103050	Transcription termination factor 1 OS=Homo sapiens (Human) OX=9606 GN=TTF1 PE=1 SV=3	8	8	1.000	8	8	8.000
5603	1	sp|Q15363|TMED2_HUMAN	 	 	 	 	38.8	201	22761	Transmembrane emp24 domain-containing protein 2 OS=Homo sapiens (Human) OX=9606 GN=TMED2 PE=1 SV=1	34	34	1.000	34	34	34.000
5604	1	sp|Q15365|PCBP1_HUMAN	 	 	sp|P57721|PCBP3_HUMAN, sp|Q15365|PCBP1_HUMAN, sp|Q15366|PCBP2_HUMAN	 	66.0	356	37497	Poly(rC)-binding protein 1 OS=Homo sapiens (Human) OX=9606 GN=PCBP1 PE=1 SV=2	173	80	0.462	173	80	144.336
5605	1	sp|Q15366|PCBP2_HUMAN	 	 	sp|P57721|PCBP3_HUMAN, sp|Q15365|PCBP1_HUMAN, sp|Q15366|PCBP2_HUMAN	 	46.3	365	38580	Poly(rC)-binding protein 2 OS=Homo sapiens (Human) OX=9606 GN=PCBP2 PE=1 SV=1	129	30	0.233	129	30	58.741
5606	1	sp|Q15369|ELOC_HUMAN	 	 	 	 	58.0	112	12473	Elongin-C OS=Homo sapiens (Human) OX=9606 GN=ELOC PE=1 SV=1	46	46	1.000	46	46	46.000
5607	1	sp|Q15370|ELOB_HUMAN	 	 	 	 	33.1	118	13133	Elongin-B OS=Homo sapiens (Human) OX=9606 GN=ELOB PE=1 SV=1	55	55	1.000	55	55	55.000
5608	1	sp|Q15375|EPHA7_HUMAN	 	 	sp|P29317|EPHA2_HUMAN, sp|P29320|EPHA3_HUMAN, sp|P29322|EPHA8_HUMAN, sp|P29323|EPHB2_HUMAN, sp|P54753|EPHB3_HUMAN, sp|P54756|EPHA5_HUMAN, sp|P54760|EPHB4_HUMAN, sp|Q06187|BTK_HUMAN, sp|Q15375|EPHA7_HUMAN	 	6.0	998	112095	Ephrin type-A receptor 7 OS=Homo sapiens (Human) OX=9606 GN=EPHA7 PE=1 SV=3	8	5	0.625	8	5	5.288
5609	1	sp|Q15382|RHEB_HUMAN	 	 	 	 	32.6	184	20497	GTP-binding protein Rheb OS=Homo sapiens (Human) OX=9606 GN=RHEB PE=1 SV=1	20	20	1.000	20	20	20.000
5610	1	sp|Q15386|UBE3C_HUMAN	 	 	 	 	23.4	1083	123921	Ubiquitin-protein ligase E3C OS=Homo sapiens (Human) OX=9606 GN=UBE3C PE=1 SV=3	28	28	1.000	28	28	28.000
5611	1	sp|Q15388|TOM20_HUMAN	 	 	 	 	22.1	145	16298	Mitochondrial import receptor subunit TOM20 homolog OS=Homo sapiens (Human) OX=9606 GN=TOMM20 PE=1 SV=1	4	4	1.000	4	4	4.000
5612	1	sp|Q15392|DHC24_HUMAN	 	 	 	 	22.1	516	60101	Delta(24)-sterol reductase OS=Homo sapiens (Human) OX=9606 GN=DHCR24 PE=1 SV=2	16	16	1.000	16	16	16.000
5613	1	sp|Q15393|SF3B3_HUMAN	 	 	 	 	44.0	1217	135576	Splicing factor 3B subunit 3 OS=Homo sapiens (Human) OX=9606 GN=SF3B3 PE=1 SV=4	223	223	1.000	223	223	223.000
5614	1	sp|Q15397|PUM3_HUMAN	 	 	 	 	35.0	648	73584	Pumilio homolog 3 OS=Homo sapiens (Human) OX=9606 GN=PUM3 PE=1 SV=3	41	41	1.000	41	41	41.000
5615	1	sp|Q15398|DLGP5_HUMAN	 	 	 	 	11.6	846	95114	Disks large-associated protein 5 OS=Homo sapiens (Human) OX=9606 GN=DLGAP5 PE=1 SV=2	11	11	1.000	11	11	11.000
5616	1	sp|Q15404|RSU1_HUMAN	 	 	 	 	49.5	277	31540	Ras suppressor protein 1 OS=Homo sapiens (Human) OX=9606 GN=RSU1 PE=1 SV=3	24	24	1.000	24	24	24.000
5617	1	sp|Q15417|CNN3_HUMAN	 	 	sp|Q15417|CNN3_HUMAN, sp|Q99439|CNN2_HUMAN	 	7.3	329	36413	Calponin-3 OS=Homo sapiens (Human) OX=9606 GN=CNN3 PE=1 SV=1	5	2	0.400	5	2	2.171
5618	1	sp|Q15418|KS6A1_HUMAN	 	 	sp|O15021|MAST4_HUMAN, sp|O60307|MAST3_HUMAN, sp|P51812|KS6A3_HUMAN, sp|Q15349|KS6A2_HUMAN, sp|Q15418|KS6A1_HUMAN, sp|Q6P0Q8|MAST2_HUMAN, sp|Q86UE8|TLK2_HUMAN, sp|Q8IW41|MAPK5_HUMAN, sp|Q96GX5|GWL_HUMAN, sp|Q9UK32|KS6A6_HUMAN, sp|Q9UKI8|TLK1_HUMAN	 	36.1	735	82722	Ribosomal protein S6 kinase alpha-1 OS=Homo sapiens (Human) OX=9606 GN=RPS6KA1 PE=1 SV=2	58	24	0.414	58	24	34.685
5619	1	sp|Q15424|SAFB1_HUMAN	 	 	sp|Q14151|SAFB2_HUMAN, sp|Q15424|SAFB1_HUMAN	 	22.8	915	102640	Scaffold attachment factor B1 OS=Homo sapiens (Human) OX=9606 GN=SAFB PE=1 SV=4	80	50	0.625	80	50	68.072
5620	1	sp|Q15427|SF3B4_HUMAN	 	 	 	 	21.7	424	44385	Splicing factor 3B subunit 4 OS=Homo sapiens (Human) OX=9606 GN=SF3B4 PE=1 SV=1	19	19	1.000	19	19	19.000
5621	1	sp|Q15428|SF3A2_HUMAN	 	 	 	 	19.2	464	49255	Splicing factor 3A subunit 2 OS=Homo sapiens (Human) OX=9606 GN=SF3A2 PE=1 SV=2	18	18	1.000	18	18	18.000
5622	1	sp|Q15435|PP1R7_HUMAN	 	 	 	 	71.1	360	41564	Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens (Human) OX=9606 GN=PPP1R7 PE=1 SV=1	57	57	1.000	57	57	57.000
5623	1	sp|Q15436|SC23A_HUMAN	 	 	sp|Q15436|SC23A_HUMAN, sp|Q15437|SC23B_HUMAN	 	32.5	765	86160	Protein transport protein Sec23A OS=Homo sapiens (Human) OX=9606 GN=SEC23A PE=1 SV=2	44	39	0.886	44	39	41.349
5624	1	sp|Q15437|SC23B_HUMAN	 	 	sp|Q15436|SC23A_HUMAN, sp|Q15437|SC23B_HUMAN	 	31.7	767	86478	Protein transport protein Sec23B OS=Homo sapiens (Human) OX=9606 GN=SEC23B PE=1 SV=2	49	44	0.898	49	44	46.651
5625	1	sp|Q15438|CYH1_HUMAN	 	 	sp|O43739|CYH3_HUMAN, sp|Q15438|CYH1_HUMAN, sp|Q99418|CYH2_HUMAN, sp|Q9Y6D5|BIG2_HUMAN, sp|Q9Y6D6|BIG1_HUMAN	 	20.6	398	46412	Cytohesin-1 OS=Homo sapiens (Human) OX=9606 GN=CYTH1 PE=1 SV=1	10	3	0.300	10	3	4.493
5626	1	sp|Q15459|SF3A1_HUMAN	 	 	 	 	35.4	793	88885	Splicing factor 3A subunit 1 OS=Homo sapiens (Human) OX=9606 GN=SF3A1 PE=1 SV=1	81	81	1.000	81	81	81.000
5627	1	sp|Q15464|SHB_HUMAN	 	 	 	 	12.2	509	55042	SH2 domain-containing adapter protein B OS=Homo sapiens (Human) OX=9606 GN=SHB PE=1 SV=2	5	5	1.000	5	5	5.000
5628	1	sp|Q15468|STIL_HUMAN	 	 	 	 	2.4	1287	142953	SCL-interrupting locus protein OS=Homo sapiens (Human) OX=9606 GN=STIL PE=1 SV=2	3	3	1.000	3	3	3.000
5629	1	sp|Q15477|SKIV2_HUMAN	 	 	 	 	25.4	1246	137754	Helicase SKI2W OS=Homo sapiens (Human) OX=9606 GN=SKIV2L PE=1 SV=3	59	59	1.000	59	59	59.000
5630	1	sp|Q15526|SURF1_HUMAN	 	 	 	 	29.0	300	33331	Surfeit locus protein 1 OS=Homo sapiens (Human) OX=9606 GN=SURF1 PE=1 SV=1	10	10	1.000	10	10	10.000
5631	1	sp|Q15527|SURF2_HUMAN	 	 	 	 	20.3	256	29647	Surfeit locus protein 2 OS=Homo sapiens (Human) OX=9606 GN=SURF2 PE=1 SV=3	5	5	1.000	5	5	5.000
5632	1	sp|Q15528|MED22_HUMAN	 	 	 	 	28.5	200	22220	Mediator of RNA polymerase II transcription subunit 22 OS=Homo sapiens (Human) OX=9606 GN=MED22 PE=1 SV=2	9	9	1.000	9	9	9.000
5633	1	sp|Q15532|SSXT_HUMAN	 	 	 	 	2.9	418	45929	Protein SSXT OS=Homo sapiens (Human) OX=9606 GN=SS18 PE=1 SV=3	2	2	1.000	2	2	2.000
5634	1	sp|Q15542|TAF5_HUMAN	 	 	 	 	17.8	800	86829	Transcription initiation factor TFIID subunit 5 OS=Homo sapiens (Human) OX=9606 GN=TAF5 PE=1 SV=3	19	19	1.000	19	19	19.000
5635	1	sp|Q15545|TAF7_HUMAN	 	 	 	 	22.6	349	40259	Transcription initiation factor TFIID subunit 7 OS=Homo sapiens (Human) OX=9606 GN=TAF7 PE=1 SV=1	10	10	1.000	10	10	10.000
5636	1	sp|Q15554|TERF2_HUMAN	 	 	 	 	26.0	542	59593	Telomeric repeat-binding factor 2 OS=Homo sapiens (Human) OX=9606 GN=TERF2 PE=1 SV=3	16	16	1.000	16	16	16.000
5637	1	sp|Q15555|MARE2_HUMAN	 	 	sp|Q15555|MARE2_HUMAN, sp|Q15691|MARE1_HUMAN, sp|Q9UPY8|MARE3_HUMAN	 	13.8	327	37031	Microtubule-associated protein RP/EB family member 2 OS=Homo sapiens (Human) OX=9606 GN=MAPRE2 PE=1 SV=1	5	2	0.400	5	2	2.351
5638	1	sp|Q15560|TCEA2_HUMAN	 	 	sp|P23193|TCEA1_HUMAN, sp|Q15560|TCEA2_HUMAN	 	18.1	299	33600	Transcription elongation factor A protein 2 OS=Homo sapiens (Human) OX=9606 GN=TCEA2 PE=1 SV=1	8	3	0.375	8	3	3.197
5639	1	sp|Q15572|TAF1C_HUMAN	 	 	 	 	5.2	869	95212	TATA box-binding protein-associated factor RNA polymerase I subunit C OS=Homo sapiens (Human) OX=9606 GN=TAF1C PE=1 SV=2	7	7	1.000	7	7	7.000
5640	1	sp|Q15583|TGIF1_HUMAN	 	 	 	 	3.5	401	43012	Homeobox protein TGIF1 OS=Homo sapiens (Human) OX=9606 GN=TGIF1 PE=1 SV=3	4	4	1.000	4	4	4.000
5641	1	sp|Q15596|NCOA2_HUMAN	 	 	 	 	2.5	1464	159155	Nuclear receptor coactivator 2 OS=Homo sapiens (Human) OX=9606 GN=NCOA2 PE=1 SV=2	4	4	1.000	4	4	4.000
5642	1	sp|Q15599|NHRF2_HUMAN	 	 	 	 	25.8	337	37413	Na(+)/H(+) exchange regulatory cofactor NHE-RF2 OS=Homo sapiens (Human) OX=9606 GN=SLC9A3R2 PE=1 SV=2	10	10	1.000	10	10	10.000
5643	1	sp|Q15628|TRADD_HUMAN	 	 	 	 	30.4	312	34247	Tumor necrosis factor receptor type 1-associated DEATH domain protein OS=Homo sapiens (Human) OX=9606 GN=TRADD PE=1 SV=2	13	13	1.000	13	13	13.000
5644	1	sp|Q15629|TRAM1_HUMAN	 	 	 	 	20.6	374	43071	Translocating chain-associated membrane protein 1 OS=Homo sapiens (Human) OX=9606 GN=TRAM1 PE=1 SV=3	19	19	1.000	19	19	19.000
5645	1	sp|Q15631|TSN_HUMAN	 	 	 	 	37.3	228	26183	Translin OS=Homo sapiens (Human) OX=9606 GN=TSN PE=1 SV=1	43	43	1.000	43	43	43.000
5646	1	sp|Q15633|TRBP2_HUMAN	 	 	 	 	23.5	366	39039	RISC-loading complex subunit TARBP2 OS=Homo sapiens (Human) OX=9606 GN=TARBP2 PE=1 SV=3	8	8	1.000	8	8	8.000
5647	1	sp|Q15637|SF01_HUMAN	 	 	sp|B1AK53|ESPN_HUMAN, sp|Q15637|SF01_HUMAN	 	23.8	639	68329	Splicing factor 1 OS=Homo sapiens (Human) OX=9606 GN=SF1 PE=1 SV=4	39	37	0.949	39	37	38.609
5648	1	sp|Q15642|CIP4_HUMAN	 	 	sp|Q15642|CIP4_HUMAN, sp|Q5T0N5|FBP1L_HUMAN	 	30.3	601	68351	Cdc42-interacting protein 4 OS=Homo sapiens (Human) OX=9606 GN=TRIP10 PE=1 SV=3	21	20	0.952	21	20	20.488
5649	1	sp|Q15643|TRIPB_HUMAN	 	 	sp|O60610|DIAP1_HUMAN, sp|Q15643|TRIPB_HUMAN	 	41.0	1979	227584	Thyroid receptor-interacting protein 11 OS=Homo sapiens (Human) OX=9606 GN=TRIP11 PE=1 SV=3	128	127	0.992	128	127	127.534
5650	1	sp|Q15645|PCH2_HUMAN	 	 	 	 	47.9	432	48550	Pachytene checkpoint protein 2 homolog OS=Homo sapiens (Human) OX=9606 GN=TRIP13 PE=1 SV=2	40	40	1.000	40	40	40.000
5651	1	sp|Q15648|MED1_HUMAN	 	 	 	 	6.0	1581	168476	Mediator of RNA polymerase II transcription subunit 1 OS=Homo sapiens (Human) OX=9606 GN=MED1 PE=1 SV=4	16	16	1.000	16	16	16.000
5652	1	sp|Q15650|TRIP4_HUMAN	 	 	 	 	11.2	581	66145	Activating signal cointegrator 1 OS=Homo sapiens (Human) OX=9606 GN=TRIP4 PE=1 SV=4	5	5	1.000	5	5	5.000
5653	1	sp|Q15652|JHD2C_HUMAN	 	 	sp|Q15652|JHD2C_HUMAN, sp|Q7LBC6|KDM3B_HUMAN	 	2.6	2540	284522	Probable JmjC domain-containing histone demethylation protein 2C OS=Homo sapiens (Human) OX=9606 GN=JMJD1C PE=1 SV=2	5	4	0.800	5	4	4.082
5654	1	sp|Q15654|TRIP6_HUMAN	 	 	 	 	23.5	476	50287	Thyroid receptor-interacting protein 6 OS=Homo sapiens (Human) OX=9606 GN=TRIP6 PE=1 SV=3	9	9	1.000	9	9	9.000
5655	1	sp|Q15691|MARE1_HUMAN	 	 	sp|Q15555|MARE2_HUMAN, sp|Q15691|MARE1_HUMAN, sp|Q9UPY8|MARE3_HUMAN	 	47.4	268	29999	Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens (Human) OX=9606 GN=MAPRE1 PE=1 SV=3	35	29	0.829	35	29	34.093
5656	1	sp|Q15696|U2AFM_HUMAN	 	 	 	 	7.1	482	58044	U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 2 OS=Homo sapiens (Human) OX=9606 GN=ZRSR2 PE=1 SV=2	5	5	1.000	5	5	5.000
5657	1	sp|Q15714|T22D1_HUMAN	 	 	sp|Q15714|T22D1_HUMAN, sp|Q99576|T22D3_HUMAN, sp|Q9Y3Q8|T22D4_HUMAN	 	2.7	1073	109675	TSC22 domain family protein 1 OS=Homo sapiens (Human) OX=9606 GN=TSC22D1 PE=1 SV=3	5	3	0.600	5	3	3.750
5658	1	sp|Q15717|ELAV1_HUMAN	 	 	 	 	47.5	326	36091	ELAV-like protein 1 OS=Homo sapiens (Human) OX=9606 GN=ELAVL1 PE=1 SV=2	65	65	1.000	65	65	65.000
5659	1	sp|Q15723|ELF2_HUMAN	 	 	sp|P32519|ELF1_HUMAN, sp|Q15723|ELF2_HUMAN	 	3.7	593	63966	ETS-related transcription factor Elf-2 OS=Homo sapiens (Human) OX=9606 GN=ELF2 PE=1 SV=2	4	2	0.500	4	2	2.250
5660	1	sp|Q15738|NSDHL_HUMAN	 	 	 	 	37.8	373	41900	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating OS=Homo sapiens (Human) OX=9606 GN=NSDHL PE=1 SV=2	46	46	1.000	46	46	46.000
5661	1	sp|Q15742|NAB2_HUMAN	 	 	sp|Q13506|NAB1_HUMAN, sp|Q15742|NAB2_HUMAN	 	9.0	525	56593	NGFI-A-binding protein 2 OS=Homo sapiens (Human) OX=9606 GN=NAB2 PE=1 SV=1	9	7	0.778	9	7	8.556
5662	1	sp|Q15746|MYLK_HUMAN	 	 	sp|O15264|MK13_HUMAN, sp|P45983|MK08_HUMAN, sp|P45984|MK09_HUMAN, sp|P53779|MK10_HUMAN, sp|Q15746|MYLK_HUMAN, sp|Q16539|MK14_HUMAN	 	1.9	1914	210713	Myosin light chain kinase, smooth muscle OS=Homo sapiens (Human) OX=9606 GN=MYLK PE=1 SV=4	16	4	0.250	16	4	4.923
