New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Fri May  8 06:42:05 2020
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_GMHJYZ_human_ecoli	Unique_GMHJYZ_human_ecoli	Corrected_GMHJYZ_human_ecoli	PSMs_Used_GMHJYZ_human_ecoli	TotInt_126C_GMHJYZ_human_ecoli	TotInt_127N_GMHJYZ_human_ecoli	TotInt_127C_GMHJYZ_human_ecoli	TotInt_128N_GMHJYZ_human_ecoli	TotInt_128C_GMHJYZ_human_ecoli	TotInt_129N_GMHJYZ_human_ecoli	TotInt_129C_GMHJYZ_human_ecoli	TotInt_130N_GMHJYZ_human_ecoli	TotInt_130C_GMHJYZ_human_ecoli	TotInt_131N_GMHJYZ_human_ecoli	TotInt_131C_GMHJYZ_human_ecoli
3851	1	sp|P43629|KI3L1_HUMAN (+2)	sp|P43629|KI3L1_HUMAN&sp|P43630|KI3L2_HUMAN&sp|Q14943|KI3S1_HUMAN	 	 	 	6.5	444	49097	Killer cell immunoglobulin-like receptor 3DL1 OS=Homo sapiens (Human) OX=9606 GN=KIR3DL1 PE=1 SV=1	2	2	1.000	2	2	2.000	2	44300.797851	38667.458984	53193.800293	50877.514648	251399.210938	64900.809571000005	64742.899414	49414.845703	49955.355468	97482.50586	500.0
3852	1	sp|P43671|PQIB_ECOLI	 	 	 	 	37.9	546	60520	Intermembrane transport protein PqiB OS=Escherichia coli (strain K12) OX=83333 GN=pqiB PE=1 SV=2	24	24	1.000	24	24	24.000	24	2085006.3100580003	1903185.8577910007	2168934.5533439997	2795141.930177	2585453.326173	2936293.8989259996	2360975.0888690003	3515111.084472	3912786.322264	3799510.229982	125860.280701
3853	1	sp|P43672|UUP_ECOLI	 	 	 	 	17.3	635	72066	ATP-binding protein Uup OS=Escherichia coli (strain K12) OX=83333 GN=uup PE=1 SV=2	15	15	1.000	15	15	15.000	15	1108976.655272	1123086.617186	1146301.854494	1780895.129884	1555240.4824240005	1785758.17041	1472302.5048859997	2206574.8466820004	2368884.334962	2378390.680665	75670.314453
3854	1	sp|P43686|PRS6B_HUMAN	 	 	 	 	68.2	418	47366	26S proteasome regulatory subunit 6B OS=Homo sapiens (Human) OX=9606 GN=PSMC4 PE=1 SV=2	71	71	1.000	71	71	71.000	71	19210389.785159	17952707.3252	20460203.341798	21429115.448244996	21304784.915039998	22240486.27539	19087251.358399	16107552.839842001	17163270.656251002	16443988.720702002	477028.54913500004
3855	1	sp|P43897|EFTS_HUMAN	 	 	 	 	47.1	325	35390	Elongation factor Ts, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=TSFM PE=1 SV=2	57	57	1.000	57	57	57.000	57	34949360.118163995	31282394.399412002	33914353.820315994	35055558.822267994	37068184.95605599	37367975.99902299	32462288.693360996	27069014.738284	31252041.095705	28117150.416016992	403120.5595699999
3856	1	sp|P45395|KDSD_ECOLI	 	 	 	 	19.8	328	35196	Arabinose 5-phosphate isomerase KdsD OS=Escherichia coli (strain K12) OX=83333 GN=kdsD PE=1 SV=1	21	21	1.000	21	21	21.000	21	1879364.0976570002	1737190.730469	1779346.9765619999	2880657.587889	2609634.847656	3186321.359375	2427353.208981999	3880742.917967	4480516.9570309995	4309097.929688001	150313.014648
3857	1	sp|P45425|NANK_ECOLI	 	 	 	 	19.6	291	29644	N-acetylmannosamine kinase OS=Escherichia coli (strain K12) OX=83333 GN=nanK PE=1 SV=2	4	4	1.000	4	4	4.000	4	304368.40234400006	277940.104492	289879.835937	379824.38281300006	379070.953126	407232.613281	310695.16796899994	390244.898438	449057.046875	427630.84375	12484.255981
3858	1	sp|P45464|LPOA_ECOLI	 	 	 	 	40.6	678	72824	Penicillin-binding protein activator LpoA OS=Escherichia coli (strain K12) OX=83333 GN=lpoA PE=1 SV=1	54	54	1.000	54	54	54.000	54	4194891.562256	3994490.493407	4367031.320557999	6888586.223146	5860885.331295	6554495.933843001	5366705.742923	8832155.033692	9621701.109865999	9648518.364745002	295641.2486570001
3859	1	sp|P45465|YRAN_ECOLI	 	 	 	 	18.3	131	14797	UPF0102 protein YraN OS=Escherichia coli (strain K12) OX=83333 GN=yraN PE=3 SV=1	2	2	1.000	2	2	2.000	2	44413.57666	44628.611816000004	44911.748047	58013.196289	53637.109375	62779.060547	43376.818359	61766.469727	76350.857422	67253.69336	3031.613281
3860	1	sp|P45469|YRAR_ECOLI	 	 	 	 	18.5	211	23198	Putative NAD(P)-binding protein YraR OS=Escherichia coli (strain K12) OX=83333 GN=yraR PE=4 SV=2	2	2	1.000	2	2	2.000	2	25755.955078	24933.397461	22797.454101	31649.441405999998	31375.397461	33993.789063	27311.789550999998	28419.962890000003	31804.511719000002	32812.81543	500.0
3861	1	sp|P45470|YHBO_ECOLI	 	 	 	 	33.1	172	18858	Protein/nucleic acid deglycase 2 OS=Escherichia coli (strain K12) OX=83333 GN=yhbO PE=1 SV=2	7	7	1.000	7	7	7.000	7	4428487.001952999	3394211.0917970003	3500236.660156	4225108.226563	4053094.804688	4795256.039063	3469443.2617200003	4125915.339844	4731140.546875	4128245.300781	58056.33264200001
3862	1	sp|P45522|KEFB_ECOLI	 	 	 	 	3.3	601	66410	Glutathione-regulated potassium-efflux system protein KefB OS=Escherichia coli (strain K12) OX=83333 GN=kefB PE=3 SV=1	4	4	1.000	4	4	4.000	4	85206.73339899999	111549.376954	81445.277344	148042.47461	106297.917969	135443.757813	100151.65625	152435.642578	167163.894532	167554.177734	500.0
3863	1	sp|P45523|FKBA_ECOLI	 	 	 	 	57.8	270	28882	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA OS=Escherichia coli (strain K12) OX=83333 GN=fkpA PE=1 SV=1	76	76	1.000	76	76	76.000	76	20883942.007566	18328127.464356005	20951030.167728003	35558504.302003995	30125441.65894399	36095788.36377199	28155868.476322997	52962670.947268	59106665.876466	54538249.264649995	1489554.689697
3864	1	sp|P45531|TUSC_ECOLI	 	 	 	 	33.6	119	13045	Protein TusC OS=Escherichia coli (strain K12) OX=83333 GN=tusC PE=1 SV=1	5	5	1.000	5	5	5.000	5	315374.916992	323934.416015	359268.1875	593886.427735	496772.136718	522044.796875	485105.019532	782997.046876	885378.335937	809259.648438	23554.619384999998
3865	1	sp|P45537|YHFK_ECOLI	 	 	 	 	8.3	700	79971	Uncharacterized protein YhfK OS=Escherichia coli (strain K12) OX=83333 GN=yhfK PE=3 SV=2	8	8	1.000	8	8	8.000	8	482615.89990200003	433796.959473	469797.30712899996	560769.2690419999	480642.33398500003	558462.197266	473497.406737	539716.246094	601318.104493	599267.911132	1340.901123
3866	1	sp|P45544|FRLR_ECOLI	 	 	 	 	13.2	243	27820	Probable fructoselysine utilization operon transcriptional repressor OS=Escherichia coli (strain K12) OX=83333 GN=frlR PE=1 SV=2	3	3	1.000	3	3	3.000	3	129123.199219	135116.425781	105439.503907	222159.351563	161897.960937	215972.183594	143700.796875	287421.023437	220398.621094	291774.054687	4822.638916
3867	1	sp|P45568|DXR_ECOLI	 	 	 	 	11.1	398	43388	1-deoxy-D-xylulose 5-phosphate reductoisomerase OS=Escherichia coli (strain K12) OX=83333 GN=dxr PE=1 SV=2	6	6	1.000	6	6	6.000	6	1933272.2109380001	1486324.1171869999	1641611.929688	2143914.902344	2061952.382812	2411272.5156239998	1777976.7519540002	2480762.738281	2374214.542969	2223373.433594	59654.302979
3868	1	sp|P45577|PROQ_ECOLI	 	 	 	 	47.0	232	25892	RNA chaperone ProQ OS=Escherichia coli (strain K12) OX=83333 GN=proQ PE=1 SV=2	26	26	1.000	26	26	26.000	26	6560587.480468	6068463.551269	6449065.416014999	13352005.361328999	11570182.912109	12433815.944336003	10103645.98926	19167635.609376	21421102.310548	21171399.843748	795332.4090549999
3869	1	sp|P45578|LUXS_ECOLI	 	 	 	 	67.3	171	19416	S-ribosylhomocysteine lyase OS=Escherichia coli (strain K12) OX=83333 GN=luxS PE=1 SV=3	52	52	1.000	52	52	52.000	52	23005171.741456	21524734.660156	21758032.710206	34695852.758789	29590221.611817997	34887614.010253996	27611338.102543	45427293.580569	49801541.104493	46416803.972656	1132554.328369
3870	1	sp|P45579|HCXA_ECOLI	 	 	 	 	25.1	362	39091	Hydroxycarboxylate dehydrogenase A OS=Escherichia coli (strain K12) OX=83333 GN=hcxA PE=1 SV=2	10	10	1.000	10	10	10.000	10	544352.868654	544412.354493	575154.772462	874408.289062	803983.481445	938100.6220689999	769098.0341799998	1109261.274414	1259852.956054	1144479.687499	34179.331542
3871	1	sp|P45748|TSAC_ECOLI	 	 	 	 	34.7	190	20767	Threonylcarbamoyl-AMP synthase OS=Escherichia coli (strain K12) OX=83333 GN=tsaC PE=1 SV=2	10	10	1.000	10	10	10.000	10	802484.7417	701369.397706	856454.1064449999	1171859.010741	1051080.549804	1320849.803224	1027951.486328	1341091.140625	1500259.6630870001	1501010.5107419998	42796.316406
3872	1	sp|P45799|NUDE_ECOLI	 	 	 	 	67.7	186	21153	ADP compounds hydrolase NudE OS=Escherichia coli (strain K12) OX=83333 GN=nudE PE=1 SV=1	16	16	1.000	16	16	16.000	16	1193411.881834	991594.0019520001	1131035.9589840001	1886992.5195320002	1758524.893557	2090052.4433579997	1554823.0273449998	2812766.4365250007	3199915.098632001	3199299.1445319997	83247.32617300001
3873	1	sp|P45800|IGAA_ECOLI	 	 	 	 	16.6	711	79489	Putative membrane protein IgaA homolog OS=Escherichia coli (strain K12) OX=83333 GN=yrfF PE=1 SV=1	14	14	1.000	14	14	14.000	14	1094162.8310550002	1023652.3261720001	1127931.718262	1692483.2441409999	1518782.5219720001	1769265.8359369999	1353915.232423	2142864.5	2290611.970704	2313169.829102	74890.549559
3874	1	sp|P45877|PPIC_HUMAN	 	 	 	 	10.8	212	22763	Peptidyl-prolyl cis-trans isomerase C OS=Homo sapiens (Human) OX=9606 GN=PPIC PE=1 SV=1	4	4	1.000	4	4	4.000	4	9769587.943359	8840783.740234	11078308.103516	11052173.001953	11577824.544922	10767823.421875	10318722.908203	7608668.376953	9013681.144531	8331829.585938	366592.335938
3875	1	sp|P45880|VDAC2_HUMAN	 	 	 	 	47.3	294	31566	Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens (Human) OX=9606 GN=VDAC2 PE=1 SV=2	100	100	1.000	100	100	100.000	100	14388149.624757994	13087955.625003997	13766681.577877002	15760952.928221	16220161.282471996	17009672.062012002	13743438.834965995	12093683.701294	12586991.215576999	11934726.060301002	257071.17675699992
3876	1	sp|P45954|ACDSB_HUMAN	 	 	 	 	35.9	432	47485	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=ACADSB PE=1 SV=1	33	33	1.000	33	33	33.000	33	4984742.005616001	4720596.600829999	4970841.641846001	5326999.042238001	5333463.700685999	5475878.271361	4626868.349486	3728953.9946319996	4270276.745119001	4032199.517091001	137569.370728
3877	1	sp|P45955|CPOB_ECOLI	 	 	 	 	56.3	263	28231	Cell division coordinator CpoB OS=Escherichia coli (strain K12) OX=83333 GN=cpoB PE=1 SV=2	27	27	1.000	27	27	27.000	27	6116374.051271	4984263.958742001	5658907.262208001	9860999.912109	8210402.995605999	9920496.711426	7786122.341309001	13696180.896972999	15277016.193359002	14183819.708006002	494734.42749100004
3878	1	sp|P45973|CBX5_HUMAN	 	 	sp|P45973|CBX5_HUMAN, sp|Q13185|CBX3_HUMAN	 	63.9	191	22225	Chromobox protein homolog 5 OS=Homo sapiens (Human) OX=9606 GN=CBX5 PE=1 SV=1	51	50	0.980	51	50	50.435	50	15469466.597658997	14378702.208009996	14761021.864259997	15880537.070802998	15917152.950684	16636956.485352999	14378633.555663003	12000324.728516	13221548.916014003	12078269.583495	235577.09881599995
3879	1	sp|P45974|UBP5_HUMAN	 	 	sp|P45974|UBP5_HUMAN, sp|Q92995|UBP13_HUMAN	 	37.3	858	95785	Ubiquitin carboxyl-terminal hydrolase 5 OS=Homo sapiens (Human) OX=9606 GN=USP5 PE=1 SV=2	96	94	0.979	96	94	95.635	94	25585416.635247003	23869366.757081997	24891610.621338997	26992576.218753	26768170.882813003	28127906.944337	24233701.715818007	19828510.194341	20665647.954590995	18976523.764408	366084.5123280001
3880	1	sp|P45983|MK08_HUMAN	 	 	sp|O15264|MK13_HUMAN, sp|P45983|MK08_HUMAN, sp|P45984|MK09_HUMAN, sp|P53779|MK10_HUMAN, sp|Q15746|MYLK_HUMAN, sp|Q16539|MK14_HUMAN	 	16.2	427	48295	Mitogen-activated protein kinase 8 OS=Homo sapiens (Human) OX=9606 GN=MAPK8 PE=1 SV=2	19	2	0.105	19	2	3.128	2	139216.09375	195140.137207	122959.223633	240102.61816399998	184740.094727	222465.652344	148636.292969	195568.72558600002	143888.8125	175933.318359	500.0
3882	1	sp|P45985|MP2K4_HUMAN	 	 	 	 	25.6	399	44287	Dual specificity mitogen-activated protein kinase kinase 4 OS=Homo sapiens (Human) OX=9606 GN=MAP2K4 PE=1 SV=1	13	13	1.000	13	13	13.000	13	4678184.160156	4181520.164307	4770928.265136001	5659296.410646	5292935.069091001	5558517.7312010005	4899656.608399002	3972584.4621590003	4555638.253908	3818743.983886	123023.948243
3883	1	sp|P46013|KI67_HUMAN	 	 	 	 	31.3	3256	358689	Proliferation marker protein Ki-67 OS=Homo sapiens (Human) OX=9606 GN=MKI67 PE=1 SV=2	143	143	1.000	143	143	143.000	143	23865005.229740992	30255439.29712	28207774.740850996	30212555.376710996	26899263.467287004	29775572.694584	30608241.708257996	23609523.514895	26844886.813118983	24977182.512695	672716.2213170002
3884	1	sp|P46019|KPB2_HUMAN	 	 	sp|P46019|KPB2_HUMAN, sp|P46020|KPB1_HUMAN	 	9.9	1235	138406	Phosphorylase b kinase regulatory subunit alpha, liver isoform OS=Homo sapiens (Human) OX=9606 GN=PHKA2 PE=1 SV=1	13	12	0.923	13	12	12.600	12	930147.5200189999	993862.3310550001	942841.386718	1118320.4145509999	1072083.4238270002	1154791.658204	978158.30127	1016303.652831	1100570.812988	1070963.678221	33504.697204000004
3885	1	sp|P46020|KPB1_HUMAN	 	 	sp|P46019|KPB2_HUMAN, sp|P46020|KPB1_HUMAN	 	7.4	1223	137310	Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform OS=Homo sapiens (Human) OX=9606 GN=PHKA1 PE=1 SV=2	9	8	0.889	9	8	8.400	8	1073988.7558600002	975916.0126949999	1162574.806641	1226501.052735	1229403.46875	1291205.75586	1058406.154296	906924.3320320001	989381.537109	1018113.654298	40338.562011
3886	1	sp|P46060|RAGP1_HUMAN	 	 	 	 	38.8	587	63541	Ran GTPase-activating protein 1 OS=Homo sapiens (Human) OX=9606 GN=RANGAP1 PE=1 SV=1	48	48	1.000	48	48	48.000	48	20354151.914062995	18220871.858643997	19533335.264163997	21644313.470216	21109920.207032997	21640857.605468996	19452117.141116	16941452.753177002	18363515.765141	17586279.821290996	485002.75293
3887	1	sp|P46063|RECQ1_HUMAN	 	 	sp|P46063|RECQ1_HUMAN, sp|P54132|BLM_HUMAN	 	42.2	649	73457	ATP-dependent DNA helicase Q1 OS=Homo sapiens (Human) OX=9606 GN=RECQL PE=1 SV=3	72	71	0.986	72	71	71.845	71	7938766.440676001	7122777.170900001	7693005.628542002	8678944.995609	8222355.971682	8625180.473143	7858426.185305	6675802.824464999	7304879.967286003	7105219.280764001	130637.07861099998
3888	1	sp|P46087|NOP2_HUMAN	 	 	 	 	26.1	812	89301	Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase OS=Homo sapiens (Human) OX=9606 GN=NOP2 PE=1 SV=2	63	63	1.000	63	63	63.000	63	10777096.787111	9656123.078126	10254425.071293002	12320814.606445998	11456967.199218001	12762970.103516998	10665408.332523001	9776958.660401002	10757539.374513997	10066755.783693997	235997.453857
3889	1	sp|P46100|ATRX_HUMAN	 	 	 	 	13.1	2492	282583	Transcriptional regulator ATRX OS=Homo sapiens (Human) OX=9606 GN=ATRX PE=1 SV=5	42	42	1.000	42	42	42.000	42	7068548.8042	5976041.513671	6882955.786132	7393200.832031999	7470038.992677002	7602036.019529	6691556.423339	6187235.954103001	6894322.819339999	6247490.441895002	225945.91198600002
3890	1	sp|P46108|CRK_HUMAN	 	 	 	 	28.9	304	33830	Adapter molecule crk OS=Homo sapiens (Human) OX=9606 GN=CRK PE=1 SV=2	15	15	1.000	15	15	15.000	15	4793411.739259	4184005.3974599997	4633263.124023	5475195.651366999	5511259.621095	5353561.40625	4980232.489258	3920136.6855450002	4726315.687502	4591864.257813	226573.492188
3891	1	sp|P46109|CRKL_HUMAN	 	 	 	 	50.2	303	33777	Crk-like protein OS=Homo sapiens (Human) OX=9606 GN=CRKL PE=1 SV=1	31	31	1.000	31	31	31.000	31	3504678.3399670003	3455648.684329	3622521.299926	4011809.111574	4548283.837157999	4675167.208009001	3801744.270019	3480852.9748530006	4169863.542726001	3970100.5473639998	83208.009887
3892	1	sp|P46118|HEXR_ECOLI	 	 	 	 	30.4	289	31975	HTH-type transcriptional regulator HexR OS=Escherichia coli (strain K12) OX=83333 GN=hexR PE=3 SV=2	19	19	1.000	19	19	19.000	19	1329260.75586	1156186.137698	1354029.02832	2117508.226565	1793799.6806670001	2062285.5996110004	1677058.4228519998	2715234.248048	3033834.8027330004	2945201.884766	48990.228148999995
3893	1	sp|P46125|YEDI_ECOLI	 	 	 	 	19.7	305	32190	Inner membrane protein YedI OS=Escherichia coli (strain K12) OX=83333 GN=yedI PE=1 SV=2	13	13	1.000	13	13	13.000	13	781165.7646470001	762709.4921880001	852047.0312519999	1252412.0156239998	1109076.0722659999	1313348.365235	1111913.177735	1742072.0761720003	1907638.5703119999	1834848.9980470003	42975.053223999996
3894	1	sp|P46130|YBHC_ECOLI	 	 	 	 	34.7	427	46082	Putative acyl-CoA thioester hydrolase YbhC OS=Escherichia coli (strain K12) OX=83333 GN=ybhC PE=1 SV=2	27	27	1.000	27	27	27.000	27	3365379.4179700008	3298398.498047	3667586.8540060003	5219670.124514	4740710.590333	5122418.175782001	4349256.434083001	6411296.207032999	6809228.403322	6627381.087402	62715.249756
3895	1	sp|P46144|YEDJ_ECOLI	 	 	 	 	8.7	231	25904	Uncharacterized protein YedJ OS=Escherichia coli (strain K12) OX=83333 GN=yedJ PE=1 SV=2	2	2	1.000	2	2	2.000	2	418888.449219	443402.226562	427087.0	543633.28125	577126.585938	546257.664062	427635.921875	598202.664063	669015.171875	587260.734375	24104.4375
3896	1	sp|P46199|IF2M_HUMAN	 	 	 	 	24.1	727	81316	Translation initiation factor IF-2, mitochondrial OS=Homo sapiens (Human) OX=9606 GN=MTIF2 PE=1 SV=2	29	29	1.000	29	29	29.000	29	7070599.807618001	7587832.323242001	7006275.6445309995	8951587.829102999	7698240.953124	9434513.710938001	7106353.150392001	8341718.9863289995	8750994.595703999	9412057.566897001	195677.20459
3897	1	sp|P46379|BAG6_HUMAN	 	 	 	 	27.2	1132	119407	Large proline-rich protein BAG6 OS=Homo sapiens (Human) OX=9606 GN=BAG6 PE=1 SV=2	69	69	1.000	69	69	69.000	69	31586061.757324997	32341894.664551992	30757716.768556006	35912848.390384	34111303.682615004	41387455.975586005	30534969.467409004	27577499.066043	24831301.310544003	27206226.133302003	956865.2604990002
3898	1	sp|P46459|NSF_HUMAN	 	 	sp|P46459|NSF_HUMAN, sp|Q969G3|SMCE1_HUMAN	 	46.1	744	82593	Vesicle-fusing ATPase OS=Homo sapiens (Human) OX=9606 GN=NSF PE=1 SV=3	102	99	0.971	102	99	101.395	99	30690489.724491995	28083632.889165994	30433090.068603996	34048904.553959	33288694.163087	36767194.88574499	30396438.150882997	29039639.72900799	32669037.970949996	30678971.750731006	1125613.7666030002
3899	1	sp|P46474|YHDP_ECOLI	 	 	 	 	19.3	1266	139052	Uncharacterized protein YhdP OS=Escherichia coli (strain K12) OX=83333 GN=yhdP PE=3 SV=4	23	23	1.000	23	23	23.000	23	2241233.334471999	1688199.2612309998	2033651.583497	2855070.022462	2893622.896974	3016428.293947	2656696.120606	3981908.161134	4873851.639648999	4293392.310548	206797.754395
3900	1	sp|P46527|CDN1B_HUMAN	 	 	 	 	17.7	198	22073	Cyclin-dependent kinase inhibitor 1B OS=Homo sapiens (Human) OX=9606 GN=CDKN1B PE=1 SV=1	5	5	1.000	5	5	5.000	5	669985.937501	556424.0507820001	624213.210939	720430.1210940001	677933.1289059999	697998.3398440001	678519.7382809999	679631.074218	655943.851563	646045.390626	10217.815429
3901	1	sp|P46531|NOTC1_HUMAN	 	 	sp|P46531|NOTC1_HUMAN, sp|Q04721|NOTC2_HUMAN, sp|Q9UM47|NOTC3_HUMAN	 	2.2	2555	272503	Neurogenic locus notch homolog protein 1 OS=Homo sapiens (Human) OX=9606 GN=NOTCH1 PE=1 SV=4	7	3	0.429	7	3	3.862	3	210009.270507	175555.05371100002	163328.86181700003	137309.0708	207700.437012	234918.2854	163155.874023	196892.664062	210035.032226	202506.73730500002	500.0
3902	1	sp|P46734|MP2K3_HUMAN	 	 	 	 	28.2	347	39318	Dual specificity mitogen-activated protein kinase kinase 3 OS=Homo sapiens (Human) OX=9606 GN=MAP2K3 PE=1 SV=2	14	14	1.000	14	14	14.000	14	1805774.758301	1656685.942873	1929874.145509	2017618.460449	1880162.5390630001	2202654.502442	1827206.551269	1605789.168458	1925938.996582	1657564.1811519999	31788.088013
3903	1	sp|P46736|BRCC3_HUMAN	 	 	 	 	25.6	316	36072	Lys-63-specific deubiquitinase BRCC36 OS=Homo sapiens (Human) OX=9606 GN=BRCC3 PE=1 SV=2	7	7	1.000	7	7	7.000	7	797094.591796	642195.241698	724534.081543	783928.197754	732256.462891	809814.857911	655127.440918	540538.050782	609414.572265	531501.711425	6064.88916
3904	1	sp|P46776|RL27A_HUMAN	 	 	 	 	29.1	148	16561	60S ribosomal protein L27a OS=Homo sapiens (Human) OX=9606 GN=RPL27A PE=1 SV=2	54	54	1.000	54	54	54.000	54	69919689.375976	67038295.22314599	68626265.971191	99996200.783693	72641187.021489	101625574.632813	65956359.237791	68718398.105469	62695629.762207	71636214.359864	1710633.0166019998
3905	1	sp|P46777|RL5_HUMAN	 	 	 	 	44.1	297	34362	60S ribosomal protein L5 OS=Homo sapiens (Human) OX=9606 GN=RPL5 PE=1 SV=3	189	189	1.000	189	189	189.000	189	134797910.068238	128383274.29980499	135753422.153077	158269485.24487603	140371394.99047798	159880718.14160803	134978757.43945503	108694482.01636402	115585974.33447811	111272973.04467595	2066105.6673579998
3906	1	sp|P46778|RL21_HUMAN	 	 	 	 	35.6	160	18565	60S ribosomal protein L21 OS=Homo sapiens (Human) OX=9606 GN=RPL21 PE=1 SV=2	64	64	1.000	64	64	64.000	64	115810542.185549	102108437.695803	118277673.79882999	126696215.59570603	121419110.97705199	128291992.29101399	104933659.04467802	91308664.592284	105984124.859134	90783194.57519402	4785029.617555
3907	1	sp|P46779|RL28_HUMAN	 	 	 	 	41.6	137	15747	60S ribosomal protein L28 OS=Homo sapiens (Human) OX=9606 GN=RPL28 PE=1 SV=3	52	52	1.000	52	52	52.000	52	68548603.784181	62896730.96875099	71097268.51367202	79727061.61133201	75226229.191409	76617027.37109402	67144928.026369	55977199.662112005	63749605.721682005	57719479.900391	1256341.2769770003
3908	1	sp|P46781|RS9_HUMAN	 	 	 	 	47.4	194	22591	40S ribosomal protein S9 OS=Homo sapiens (Human) OX=9606 GN=RPS9 PE=1 SV=3	194	194	1.000	194	194	194.000	194	119705626.71454506	105130251.41552497	117996295.80566601	122662211.40283604	119689461.74267514	124202854.11400796	112792843.47022001	86501277.88867702	98462504.10058497	84922351.401858	2427617.1658949987
3909	1	sp|P46782|RS5_HUMAN	 	 	 	 	37.3	204	22876	40S ribosomal protein S5 OS=Homo sapiens (Human) OX=9606 GN=RPS5 PE=1 SV=4	47	47	1.000	47	47	47.000	47	47735504.864746995	45644976.86768	47274074.385743	53635093.77734599	55464792.034181	56266099.493654	47296900.487792	40823867.400879994	43705380.607421	42120422.813477	1464241.5488899997
3910	1	sp|P46783|RS10_HUMAN	 	 	sp|P46783|RS10_HUMAN, sp|Q15149|PLEC_HUMAN	 	67.9	165	18898	40S ribosomal protein S10 OS=Homo sapiens (Human) OX=9606 GN=RPS10 PE=1 SV=1	86	74	0.860	86	74	74.794	74	35198165.23620799	30112727.813603994	37572929.847904	39986336.055177	38406428.64623799	37619874.329839	35469096.72778099	31241566.027466003	35372067.14526399	30072073.842285994	261416.89477399996
3911	1	sp|P46821|MAP1B_HUMAN	 	 	 	 	2.4	2468	270631	Microtubule-associated protein 1B OS=Homo sapiens (Human) OX=9606 GN=MAP1B PE=1 SV=2	8	8	1.000	8	8	8.000	8	159037.658813	224529.812987	159726.897339	364030.13379	193701.48584	166229.890136	158094.553222	169370.311767	584170.0195309999	228729.74755799997	16647.237061
3912	1	sp|P46837|YHGF_ECOLI	 	 	 	 	40.9	773	85119	Protein YhgF OS=Escherichia coli (strain K12) OX=83333 GN=yhgF PE=1 SV=3	65	65	1.000	65	65	65.000	65	7908437.744143998	7110529.843750003	7842158.115482	11913275.764162999	10999944.669922998	11920233.305179002	10189147.097415004	15216533.135742001	16594092.764649	15386701.995117001	385303.17639000004
3913	1	sp|P46850|RTCB_ECOLI	 	 	 	 	4.9	408	45221	RNA-splicing ligase RtcB OS=Escherichia coli (strain K12) OX=83333 GN=rtcB PE=1 SV=3	3	3	1.000	3	3	3.000	3	46755.581055	57636.425781	53317.605469	92079.59961	68663.076661	85602.001953	62647.850586	104883.919922	84562.426758	107501.964844	5099.777344
3914	1	sp|P46852|YHHW_ECOLI	 	 	 	 	32.5	231	26279	Quercetin 2,3-dioxygenase OS=Escherichia coli (strain K12) OX=83333 GN=yhhW PE=1 SV=1	6	6	1.000	6	6	6.000	6	352108.210939	351551.656249	338609.046875	533966.4101559999	474381.69336000003	565096.5273450001	489453.58788999997	718723.65625	749694.066407	787640.320313	27865.559936
3915	1	sp|P46853|YHHX_ECOLI	 	 	 	 	40.0	345	38765	Uncharacterized oxidoreductase YhhX OS=Escherichia coli (strain K12) OX=83333 GN=yhhX PE=1 SV=1	21	21	1.000	21	21	21.000	21	4140682.251466	3557755.5712900003	4433253.963378	5992741.544922	5368021.945315	6287107.884764999	4999292.541992	7872117.114259	8474270.25586	8044633.04883	114129.263305
3916	1	sp|P46854|AAAT_ECOLI	 	 	 	 	12.3	162	18793	L-amino acid N-acetyltransferase AaaT OS=Escherichia coli (strain K12) OX=83333 GN=aaaT PE=1 SV=1	2	2	1.000	2	2	2.000	2	337930.285156	319673.82617200003	312281.488281	452619.742188	417877.917969	458779.554688	402024.601562	619887.632812	630332.3085940001	584986.109375	2253.758057
3917	1	sp|P46888|USPC_ECOLI	 	 	 	 	26.8	142	15633	Universal stress protein C OS=Escherichia coli (strain K12) OX=83333 GN=uspC PE=2 SV=1	2	2	1.000	2	2	2.000	2	81281.547852	76531.201172	88446.472656	139208.39160200002	113918.574219	135525.40527400002	125405.610352	199010.541016	210396.691406	216592.86621100002	11209.579102
3918	1	sp|P46889|FTSK_ECOLI	 	 	 	 	12.6	1329	146661	DNA translocase FtsK OS=Escherichia coli (strain K12) OX=83333 GN=ftsK PE=1 SV=2	19	19	1.000	19	19	19.000	19	1656545.7573270006	1405301.1684549998	1599821.7211920002	2135054.836427	1892666.2534169997	2312712.9843750005	1696573.0664060002	2358143.981446	2534139.555665	2659187.2172880005	91080.049926
